prompt,score,room,class_prob
a photo of a kitchen,0.21798264980316162,kitchen,0.20138342105885346
the interior of a kitchen,0.18621507287025452,kitchen,0.20138342105885346
an everyday kitchen,0.22493915259838104,kitchen,0.20138342105885346
a realistic kitchen,0.18331238627433777,kitchen,0.20138342105885346
a kitchen with typical furniture,0.14842410385608673,kitchen,0.20138342105885346
a photo of a home kitchen,0.19857870042324066,kitchen,0.20138342105885346
the interior of a home kitchen,0.18190184235572815,kitchen,0.20138342105885346
an everyday home kitchen,0.20839238166809082,kitchen,0.20138342105885346
a realistic home kitchen,0.1670106202363968,kitchen,0.20138342105885346
a home kitchen with typical furniture,0.1448858678340912,kitchen,0.20138342105885346
a photo of a domestic kitchen,0.21406948566436768,kitchen,0.20138342105885346
the interior of a domestic kitchen,0.18742886185646057,kitchen,0.20138342105885346
an everyday domestic kitchen,0.22999796271324158,kitchen,0.20138342105885346
a realistic domestic kitchen,0.1852705329656601,kitchen,0.20138342105885346
a domestic kitchen with typical furniture,0.15180419385433197,kitchen,0.20138342105885346
a photo of a cooking area,0.17591483891010284,kitchen,0.20138342105885346
the interior of a cooking area,0.16390115022659302,kitchen,0.20138342105885346
an everyday cooking area,0.18818944692611694,kitchen,0.20138342105885346
a realistic cooking area,0.17202802002429962,kitchen,0.20138342105885346
a cooking area with typical furniture,0.13739563524723053,kitchen,0.20138342105885346
a photo of a galley kitchen,0.1684410721063614,kitchen,0.20138342105885346
the interior of a galley kitchen,0.16490694880485535,kitchen,0.20138342105885346
an everyday galley kitchen,0.1930454969406128,kitchen,0.20138342105885346
a realistic galley kitchen,0.15752479434013367,kitchen,0.20138342105885346
a galley kitchen with typical furniture,0.13026568293571472,kitchen,0.20138342105885346
kitchen with a bathroom sink,0.18331676721572876,kitchen,0.20138342105885346
kitchen with a kitchen sink,0.19761259853839874,kitchen,0.20138342105885346
kitchen showing a toilet seat,0.19462569057941437,kitchen,0.20138342105885346
kitchen showing a bed,0.18586945533752441,kitchen,0.20138342105885346
kitchen showing a sofa,0.18470653891563416,kitchen,0.20138342105885346
home kitchen with a bathroom sink,0.17585507035255432,kitchen,0.20138342105885346
home kitchen with a kitchen sink,0.18874219059944153,kitchen,0.20138342105885346
home kitchen showing a toilet seat,0.18733000755310059,kitchen,0.20138342105885346
home kitchen showing a bed,0.17894399166107178,kitchen,0.20138342105885346
home kitchen showing a sofa,0.1784900724887848,kitchen,0.20138342105885346
domestic kitchen with a bathroom sink,0.1908964365720749,kitchen,0.20138342105885346
domestic kitchen with a kitchen sink,0.1980900764465332,kitchen,0.20138342105885346
domestic kitchen showing a toilet seat,0.182406947016716,kitchen,0.20138342105885346
domestic kitchen showing a bed,0.17375300824642181,kitchen,0.20138342105885346
domestic kitchen showing a sofa,0.17517821490764618,kitchen,0.20138342105885346
a microwave next to a wall in a kitchen,0.17440316081047058,kitchen,0.20138342105885346
a top-down showing brewing coffee in the galley kitchen,0.17001008987426758,kitchen,0.20138342105885346
a low angle of a dish rack in a domestic kitchen,0.2034951001405716,kitchen,0.20138342105885346
POV in the home kitchen looking at the microwave,0.231035977602005,kitchen,0.20138342105885346
a cropped of a refrigerator in a kitchen,0.19364622235298157,kitchen,0.20138342105885346
a galley kitchen containing a oven,0.14686091244220734,kitchen,0.20138342105885346
a galley kitchen countertop showing a pantry shelves,0.12707500159740448,kitchen,0.20138342105885346
a low angle of a countertop in a cooking area,0.18288275599479675,kitchen,0.20138342105885346
a bar stools next to a wall in a kitchen,0.16871890425682068,kitchen,0.20138342105885346
a top-down of a kettle in a home kitchen,0.1910511553287506,kitchen,0.20138342105885346
the corner of a home kitchen showing a gas stove,0.1547522246837616,kitchen,0.20138342105885346
a low angle showing brewing coffee in the galley kitchen,0.18501265347003937,kitchen,0.20138342105885346
a cooking area countertop showing a kitchen sink,0.1581839919090271,kitchen,0.20138342105885346
a close-up of a dish rack in a domestic kitchen,0.17065711319446564,kitchen,0.20138342105885346
a kitchen containing a pantry shelves,0.15882515907287598,kitchen,0.20138342105885346
a close-up of a bar stools in a galley kitchen,0.13805469870567322,kitchen,0.20138342105885346
a bright daylight of a galley kitchen,0.1573893129825592,kitchen,0.20138342105885346
a top-down of a gas stove in a cooking area,0.16173343360424042,kitchen,0.20138342105885346
a cropped of a range hood in a cooking area,0.16975845396518707,kitchen,0.20138342105885346
a cropped of a oven in a home kitchen,0.18190166354179382,kitchen,0.20138342105885346
a kitchen countertop showing a knife block,0.14256639778614044,kitchen,0.20138342105885346
a home kitchen countertop showing a spice rack,0.13932746648788452,kitchen,0.20138342105885346
a top-down of a blender in a domestic kitchen,0.1956312358379364,kitchen,0.20138342105885346
a home kitchen with a spice rack,0.15596063435077667,kitchen,0.20138342105885346
a partial view showing chopping vegetables in the galley kitchen,0.15131637454032898,kitchen,0.20138342105885346
a dim lighting of a home kitchen,0.20900225639343262,kitchen,0.20138342105885346
POV in the domestic kitchen looking at the dish soap,0.2369634211063385,kitchen,0.20138342105885346
a corner of the room of a range hood in a home kitchen,0.1695318967103958,kitchen,0.20138342105885346
signs of cooking dinner in a domestic kitchen,0.20324334502220154,kitchen,0.20138342105885346
a domestic kitchen with a pots and pans,0.1775818169116974,kitchen,0.20138342105885346
a cropped of a fridge in a cooking area,0.1867033690214157,kitchen,0.20138342105885346
a low angle of a spice rack in a cooking area,0.17901134490966797,kitchen,0.20138342105885346
a close-up of a refrigerator in a kitchen,0.17482152581214905,kitchen,0.20138342105885346
the corner of a galley kitchen showing a kitchen sink,0.16732904314994812,kitchen,0.20138342105885346
a kitchen containing a paper towel holder,0.17121101915836334,kitchen,0.20138342105885346
a cool-toned light of a home kitchen,0.1555744856595993,kitchen,0.20138342105885346
a domestic kitchen containing a toaster,0.19037730991840363,kitchen,0.20138342105885346
a smartphone photo of a home kitchen,0.20852771401405334,kitchen,0.20138342105885346
the corner of a kitchen showing a microwave,0.18784648180007935,kitchen,0.20138342105885346
a close-up of a gas stove in a kitchen,0.14613685011863708,kitchen,0.20138342105885346
a close-up of a paper towel holder in a cooking area,0.1473112851381302,kitchen,0.20138342105885346
a partial view of a bar stools in a domestic kitchen,0.1568414270877838,kitchen,0.20138342105885346
a corner of the room of a fridge in a kitchen,0.19409318268299103,kitchen,0.20138342105885346
POV in the home kitchen looking at the induction cooktop,0.21359845995903015,kitchen,0.20138342105885346
signs of chopping vegetables in a galley kitchen,0.19416996836662292,kitchen,0.20138342105885346
a corner of the room of a paper towel holder in a domestic kitchen,0.17180506885051727,kitchen,0.20138342105885346
a home kitchen countertop showing a toaster,0.1710919588804245,kitchen,0.20138342105885346
the corner of a domestic kitchen showing a toaster,0.18454153835773468,kitchen,0.20138342105885346
a partial view of a paper towel holder in a domestic kitchen,0.16876599192619324,kitchen,0.20138342105885346
a cropped showing prepping food in the domestic kitchen,0.17978090047836304,kitchen,0.20138342105885346
a photo of a bathroom,0.22918133437633514,bathroom,0.20252517856083319
the interior of a bathroom,0.196074441075325,bathroom,0.20252517856083319
an everyday bathroom,0.22019830346107483,bathroom,0.20252517856083319
a realistic bathroom,0.19568213820457458,bathroom,0.20252517856083319
a bathroom with typical furniture,0.1749298870563507,bathroom,0.20252517856083319
a photo of a washroom,0.21027633547782898,bathroom,0.20252517856083319
the interior of a washroom,0.1837514489889145,bathroom,0.20252517856083319
an everyday washroom,0.20450182259082794,bathroom,0.20252517856083319
a realistic washroom,0.19251307845115662,bathroom,0.20252517856083319
a washroom with typical furniture,0.15457198023796082,bathroom,0.20252517856083319
a photo of a restroom,0.20239034295082092,bathroom,0.20252517856083319
the interior of a restroom,0.17910325527191162,bathroom,0.20252517856083319
an everyday restroom,0.19688795506954193,bathroom,0.20252517856083319
a realistic restroom,0.17687289416790009,bathroom,0.20252517856083319
a restroom with typical furniture,0.1635209619998932,bathroom,0.20252517856083319
a photo of a toilet room,0.2131483554840088,bathroom,0.20252517856083319
the interior of a toilet room,0.19195203483104706,bathroom,0.20252517856083319
an everyday toilet room,0.21656720340251923,bathroom,0.20252517856083319
a realistic toilet room,0.1915297657251358,bathroom,0.20252517856083319
a toilet room with typical furniture,0.16628201305866241,bathroom,0.20252517856083319
a photo of a lavatory,0.21205708384513855,bathroom,0.20252517856083319
the interior of a lavatory,0.18685725331306458,bathroom,0.20252517856083319
an everyday lavatory,0.20235423743724823,bathroom,0.20252517856083319
a realistic lavatory,0.18856041133403778,bathroom,0.20252517856083319
a lavatory with typical furniture,0.1595623940229416,bathroom,0.20252517856083319
bathroom with a bathroom sink,0.19014453887939453,bathroom,0.20252517856083319
bathroom with a kitchen sink,0.19120027124881744,bathroom,0.20252517856083319
bathroom showing a toilet seat,0.19221103191375732,bathroom,0.20252517856083319
bathroom showing a bed,0.202767014503479,bathroom,0.20252517856083319
bathroom showing a sofa,0.19627264142036438,bathroom,0.20252517856083319
washroom with a bathroom sink,0.18969349563121796,bathroom,0.20252517856083319
washroom with a kitchen sink,0.1926347017288208,bathroom,0.20252517856083319
