prompt,score,room,class_prob
a photo of a kitchen,0.21095497906208038,kitchen,0.20062617231022323
the interior of a kitchen,0.18528833985328674,kitchen,0.20062617231022323
an everyday kitchen,0.21910309791564941,kitchen,0.20062617231022323
a realistic kitchen,0.18173281848430634,kitchen,0.20062617231022323
a kitchen with typical furniture,0.1511978954076767,kitchen,0.20062617231022323
a photo of a home kitchen,0.1952342540025711,kitchen,0.20062617231022323
the interior of a home kitchen,0.1817304790019989,kitchen,0.20062617231022323
an everyday home kitchen,0.20526885986328125,kitchen,0.20062617231022323
a realistic home kitchen,0.16759784519672394,kitchen,0.20062617231022323
a home kitchen with typical furniture,0.14865708351135254,kitchen,0.20062617231022323
a photo of a domestic kitchen,0.21065744757652283,kitchen,0.20062617231022323
the interior of a domestic kitchen,0.1889892816543579,kitchen,0.20062617231022323
an everyday domestic kitchen,0.2301093339920044,kitchen,0.20062617231022323
a realistic domestic kitchen,0.18699797987937927,kitchen,0.20062617231022323
a domestic kitchen with typical furniture,0.15600374341011047,kitchen,0.20062617231022323
a photo of a cooking area,0.17631056904792786,kitchen,0.20062617231022323
the interior of a cooking area,0.16729360818862915,kitchen,0.20062617231022323
an everyday cooking area,0.18582089245319366,kitchen,0.20062617231022323
a realistic cooking area,0.1750849038362503,kitchen,0.20062617231022323
a cooking area with typical furniture,0.14305555820465088,kitchen,0.20062617231022323
a photo of a galley kitchen,0.16948744654655457,kitchen,0.20062617231022323
the interior of a galley kitchen,0.16932037472724915,kitchen,0.20062617231022323
an everyday galley kitchen,0.19320572912693024,kitchen,0.20062617231022323
a realistic galley kitchen,0.16041786968708038,kitchen,0.20062617231022323
a galley kitchen with typical furniture,0.13672348856925964,kitchen,0.20062617231022323
kitchen with a bathroom sink,0.17656876146793365,kitchen,0.20062617231022323
kitchen with a kitchen sink,0.1902049481868744,kitchen,0.20062617231022323
kitchen showing a toilet seat,0.19042159616947174,kitchen,0.20062617231022323
kitchen showing a bed,0.1821889579296112,kitchen,0.20062617231022323
kitchen showing a sofa,0.18208524584770203,kitchen,0.20062617231022323
home kitchen with a bathroom sink,0.17041201889514923,kitchen,0.20062617231022323
home kitchen with a kitchen sink,0.1824927031993866,kitchen,0.20062617231022323
